year,mineral,unit,filename
2023,BARITE,THOUSAND METRIC TONS,mcs2023-barit_world.csv
2023,BAUXITE AND ALUMINA,THOUSAND METRIC DRY TONS,mcs2023-bauxi_world.csv
2023,BERYLLIUM,METRIC TONS,mcs2023-beryl_world.csv
2023,BISMUTH,METRIC TONS,mcs2023-bismu_world.csv
2023,BORON,THOUSAND METRIC TONS,mcs2023-boron_world.csv
2023,BROMINE,METRIC TONS,mcs2023-bromi-world.csv
2023,CADMIUM,METRIC TONS,mcs2023-cadmi_world.csv
2023,CEMENT,THOUSAND METRIC TONS,mcs2023-cemen_world.csv
2023,CHROMIUM,THOUSAND METRIC TONS,mcs2023-chrom-world.csv
2023,CLAYS,THOUSAND METRIC TONS,mcs2023-clays_world.csv
2023,COBALT,METRIC TONS,mcs2023-cobal_world.csv
2023,COPPER,THOUSAND METRIC TONS,mcs2023-coppe_world.csv
2023,DIAMOND (INDUSTRIAL),MILLION CARATS,mcs2023-diamo-world.csv
2023,DIATOMITE,THOUSAND METRIC TONS,mcs2023-diato_world.csv
2023,FELDSPAR AND NEPHELINE SYENITE,THOUSAND METRIC TONS,mcs2023-felds_world.csv
2023,IRON ORE,THOUSAND METRIC TONS,mcs2023-feore_world.csv
2023,IRON OXIDE PIGMENTS,METRIC TONS,mcs2023-fepig_world.csv
2023,IRON AND STEEL,MILLION METRIC TONS,mcs2023-feste_world.csv
2023,FLUORSPAR,THOUSAND METRIC TONS,mcs2023-fluor_world.csv
2023,GALLIUM,KILOGRAMS,mcs2023-galli-world.csv
2023,GARNET (INDUSTRIAL),METRIC TONS,mcs2023-garne-world.csv
2023,GEMSTONES,MILLION DOLLARS,mcs2023-gemst_world.csv
2023,GERMANIUM,KILOGRAMS,mcs2023-germa_world.csv
2023,GOLD,METRIC TONS,mcs2023-gold_world.csv
2023,GRAPHITE (NATURAL),METRIC TONS,mcs2023-graph_world.csv
2023,GYPSUM,THOUSAND METRIC TONS,mcs2023-gypsu_world.csv
2023,HELIUM,MILLION CUBIC METERS,mcs2023-heliu_world.csv
2023,INDIUM,METRIC TONS,mcs2023-indiu_world.csv
2023,IODINE,METRIC TONS,mcs2023-iodin_world.csv
2023,KYANITE AND RELATED MINERALS,METRIC TONS,mcs2023_kyani_world.csv
2023,LEAD,THOUSAND METRIC TONS,mcs2023-lead_world.csv
2023,LIME,THOUSAND METRIC TONS,mcs2023-lime_world.csv
2023,LITHIUM,METRIC TONS,mcs2023-lithi_world.csv
2023,MANGANESE,THOUSAND METRIC TONS,mcs2023-manga_world.csv
2023,MERCURY,METRIC TONS,mcs2023-mercu_world.csv
2023,MAGNESIUM COMPOUNDS,NUMBER,mcs2023-mgcom-world.csv
2023,MAGNESIUM METAL,THOUSAND METRIC TONS,mcs2023-mgmet_world.csv
2023,MICA,METRIC TONS,mcs2023-mica_world.csv
2023,MOLYBDENUM,METRIC TONS,mcs2023-molyb_world.csv
2023,NICKEL,METRIC TONS,mcs2023-nicke_world.csv
2023,NIOBIUM (COLUMBIUM),METRIC TONS,mcs2023-niobi_world.csv
2023,NITROGEN (FIXED)--AMMONIA,THOUSAND METRIC TONS,mcs2023-nitro_world.csv
2023,PEAT,THOUSAND METRIC TONS,mcs2023-peat_world.csv
2023,PERLITE,THOUSAND METRIC TONS,mcs2023-perli_world.csv
2023,PHOSPHATE ROCK,THOUSAND METRIC TONS,mcs2023-phosp_world.csv
2023,PLATINUM-GROUP METALS,KILOGRAMS,mcs2023-plati_world.csv
2023,POTASH,THOUSAND METRIC TONS OF K2O EQUIVALENT,mcs2023-potas-world.csv
2023,PUMICE AND PUMICITE,THOUSAND METRIC TONS,mcs2023-pumic_world.csv
2023,RARE EARTHS,METRIC TONS,mcs2023-raree_world.csv
2023,RHENIUM,KILOGRAMS,mcs2023-rheni_world.csv
2023,SALT,THOUSAND METRIC TONS,mcs2023-salt_world.csv
2023,SAND AND GRAVEL (INDUSTRIAL),THOUSAND METRIC TONS,mcs2023-sandi_world.csv
2023,SELENIUM,METRIC TONS CONTAINED SELENIUM,mcs2023-selen_world.csv
2023,SILVER,METRIC TONS,mcs2023-silve_world.csv
2023,SILICON,THOUSAND METRIC TONS,mcs2023-simet_world.csv
2023,SODA ASH,THOUSAND METRIC TONS,mcs2023-sodaa_world.csv
2023,STONE (DIMENSION),THOUSAND METRIC TONS,mcs2023-stond_world.csv
2023,STRONTIUM,METRIC TONS,mcs2023-stron_world.csv
2023,SULFUR,THOUSAND METRIC TONS,mcs2023-sulfu_world.csv
2023,TALC AND PYROPHYLLITE,THOUSAND METRIC TONS,mcs2023-talc_world.csv
2023,TANTALUM,METRIC TONS,mcs2023-tanta_world.csv
2023,TELLURIUM,METRIC TONS,mcs2023-tellu_world.csv
2023,TITANIUM MINERAL CONCENTRATES,THOUSAND METRIC TONS,mcs2023-timin_world.csv
2023,TIN,METRIC TONS,mcs2023-tin_world.csv
2023,TITANIUM AND TITANIUM DIOXIDE,METRIC TONS,mcs2023-titan_world.csv
2023,TUNGSTEN,METRIC TONS,mcs2023-tungs_world.csv
2023,VANADIUM,METRIC TONS,mcs2023-vanad_world.csv
2023,VERMICULITE,THOUSAND METRIC TONS,mcs2023-vanad_world.csv
2023,WOLLASTONITE,METRIC TONS,mcs2023-wolla_world.csv
